Exporters,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
Jordan,1493,9429,1100,19028,242668
Spain,4671,4529,5004,3106,4601
China,3599,4953,4070,3098,4248
Italy,1813,1872,1835,1756,3220
India,7202,4874,4094,1560,2673
Brazil,993,2143,1103,628,2463
Türkiye,751,649,944,1643,2130
Dominican Republic,582,1285,1010,1577,1711
Thailand,1338,1595,649,707,1129
"Korea, Republic of",300,558,802,511,986
United Kingdom,180,245,335,104,960
France,236,731,534,513,799
Israel,426,307,517,536,767
Switzerland,66,195,291,363,525
United Arab Emirates,38,44,9,19,497
"Hong Kong, China",534,659,714,323,487
Japan,149,162,343,262,485
"Taipei, Chinese",41,68,86,65,450
Canada,601,601,470,268,416
South Africa,186,423,555,9,395
Portugal,0,39,335,157,287
Australia,4,17,71,104,226
Mexico,318,538,283,301,215
Ireland,41,5,0,27,199
Germany,159,226,205,145,181
Viet Nam,87,86,89,167,120
Indonesia,179,272,1014,700,114
Colombia,14,10,34,8,93
Belgium,11,23,8,9,85
Costa Rica,43,2,16,4,65
Netherlands,5,16,22,7,64
Slovenia,3,85,18,20,53
Greece,7,27,44,109,47
Lebanon,7,15,42,21,45
Singapore,0,5,7,4,40
Czech Republic,3,2,0,6,39
Panama,0,0,0,16,35
Denmark,19,0,3,81,30
Poland,11,26,53,5,26
Kenya,58,22,32,17,20
Egypt,0,0,3,0,18
Philippines,50,40,27,9,16
Sri Lanka,0,2,22,0,15
Austria,18,113,15,4,14
Malaysia,0,0,217,6,13
Mauritius,11,20,13,5,13
El Salvador,0,0,0,0,11
New Zealand,3,0,16,0,10
Ecuador,3,0,0,0,9
Estonia,0,0,0,0,9
Luxembourg,0,0,0,0,9
Sweden,0,0,3,0,6
"Venezuela, Bolivarian Republic of",244,41,0,3,6
Ethiopia,4,0,0,0,5
Latvia,0,0,0,0,5
Tunisia,0,0,0,0,5
Guatemala,0,7,3,0,3
Trinidad and Tobago,0,0,0,0,2
